Jayden Holdsworth:jay
Samuel Clubley:sam
Quandale Dingle:qua
Bruce Wayne:bru
Lemon Cake:lem
Alice Johnson:ali
Emily Thompson:emi
Daniel Sturridge:dan
Michael Carter:mic
Lucy Foster:luc
James Knight:jam
Natalie Wood:natalie
Oscar Wilde:osc
Penelope Cruz:pen
Quentin Adams:que
Rebecca White:reb
Stephen Smith:ste
Tracy Johnson:tra
Ursula Mann:urs
Victoria Jones:vic
William Scott:wil
Xander Cage:xan
Yasmin Le Bon:yas
Zachary Taylor:zac
Andrew Jackson:and
Benjamin Adams:ben
Clarence Witherspoon:cla
Daisy Ridley:dai
Eleanor James:ele
Frank Miller:fra
Grace Wilson:gra
Henry Cooper:hen
Isabella Moore:isa
John Doe:john
Kate Winslet:kat
Liam Neeson:lia
Monica Bellucci:mon
